Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-22,Justice League Dark,2017,https://boxd.it/1giGEb,3,,,2020-07-21
2020-07-22,Justice League Dark: Apokolips War,2020,https://boxd.it/1giGOv,2,,,2020-07-21
2020-07-28,You Don't Nomi,2019,https://boxd.it/1gWhPX,3.5,,,2020-07-27
2020-07-28,The Guest,2014,https://boxd.it/1gWX79,4,,,2020-07-28
2020-07-29,The Rental,2020,https://boxd.it/1h2v2n,2.5,,,2020-07-28
2020-07-30,Vamps,2012,https://boxd.it/1h8sYF,3.5,,,2020-07-29
2020-07-31,Spaceballs,1987,https://boxd.it/1hesGj,5,Yes,,2020-07-30
2020-08-01,Resolution,2012,https://boxd.it/1hkbsL,3.5,,,2020-07-31
2020-08-02,Alita: Battle Angel,2019,https://boxd.it/1hoKkP,3.5,,,2020-08-01
2020-08-03,Blow the Man Down,2019,https://boxd.it/1hvHdb,3.5,,,2020-08-02
2020-08-03,Happy Death Day,2017,https://boxd.it/1hwrcN,4,,,2020-08-02
2020-08-03,Happy Death Day 2U,2019,https://boxd.it/1hx8oR,3.5,,,2020-08-02
2020-08-03,The Dunwich Horror,2008,https://boxd.it/1hy5Op,0.5,,,2020-08-02
2020-08-03,Truth or Dare,2018,https://boxd.it/1hyWlv,1.5,,,2020-08-03
2020-08-04,Brahms: The Boy II,2020,https://boxd.it/1hEoCT,1.5,,,2020-08-03
2020-08-04,Don't Be Afraid of the Dark,2010,https://boxd.it/1hF1jr,3,,,2020-08-04
2020-08-05,Leprechaun Returns,2018,https://boxd.it/1hKSQt,3,,,2020-08-04
2020-08-06,Late Phases,2014,https://boxd.it/1hQLtz,4,,,2020-08-05
2020-08-07,Stake Land,2010,https://boxd.it/1hWx3z,3.5,,,2020-08-06
2020-08-08,Among Friends,2012,https://boxd.it/1i2r5B,2,,,2020-08-07
2020-08-10,Selfie from Hell,2018,https://boxd.it/1ihF8p,1,,,2020-08-09
2020-08-11,Host,2020,https://boxd.it/1inOhn,3,,,2020-08-10
2020-08-12,An American Pickle,2020,https://boxd.it/1iummD,3.5,,,2020-08-11
2020-08-13,Deep Blue Sea 3,2020,https://boxd.it/1iAVl3,3,,,2020-08-12
2020-08-14,Tread,2020,https://boxd.it/1iGJwl,3.5,,,2020-08-13
2020-08-23,Live from the Space Stage: A HALYX Story,2020,https://boxd.it/1jy3HJ,4,,,2020-08-22
2020-08-23,American Nightmares,2018,https://boxd.it/1jCf51,3.5,,,2020-08-23
2020-08-27,We Summon the Darkness,2019,https://boxd.it/1k1oE5,2.5,,,2020-08-26
2020-08-28,1BR,2019,https://boxd.it/1k7uTn,2.5,,,2020-08-27
2020-08-29,Class Action Park,2020,https://boxd.it/1kel9T,3,,,2020-08-28
2020-09-07,They're Watching,2016,https://boxd.it/1le7z3,3,,,2020-09-06
2020-09-07,Scary Stories,2018,https://boxd.it/1leZhx,2.5,,,2020-09-07
2020-09-10,Madame X - An Absolute Ruler,1978,https://boxd.it/1lxQ4R,3.5,,,2020-09-09
2020-09-11,Feels Good Man,2020,https://boxd.it/1lDhNp,3.5,,,2020-09-10
2020-09-25,Teddy,2020,https://boxd.it/1n3Nod,3.5,,,2020-09-24
2020-10-24,Books of Blood,2020,https://boxd.it/1q9pJZ,2,,,2020-10-24
2020-10-24,Disappearance at Clifton Hill,2019,https://boxd.it/1qa1IP,3.5,,,2020-10-24
2020-10-26,The Mortuary Collection,2019,https://boxd.it/1qqGmx,3,,,2020-10-25
2020-10-26,Direct to Video: Straight to Video Horror of the 90s,2019,https://boxd.it/1qrt8z,3,,,2020-10-26
2020-10-28,Antebellum,2020,https://boxd.it/1qFyV5,2.5,,,2020-10-26
2020-10-28,Silent Night Deadly Night 4: Initiation,1990,https://boxd.it/1qFz1H,2.5,,,2020-10-26
2020-10-28,Stir of Echoes,1999,https://boxd.it/1qFz9B,2.5,,,2020-10-27
2020-11-02,Band Aid,2017,https://boxd.it/1recuh,4,,,2020-11-01
2020-11-02,The Craft: Legacy,2020,https://boxd.it/1rf78R,3.5,,,2020-11-01
2020-11-03,Bad Hair,2020,https://boxd.it/1royjF,4,,,2020-11-02
2020-11-07,Girl Walks Into a Bar,2011,https://boxd.it/1rLGxh,3,,,2020-11-07
2020-11-09,The New Mutants,2020,https://boxd.it/1rYxkJ,3,,,2020-11-08
2020-11-15,Ouija: Origin of Evil,2016,https://boxd.it/1syAXr,3,,,2020-11-14
2020-11-15,Call Me Lucky,2015,https://boxd.it/1szovR,5,,,2020-11-15
2020-11-16,In the Mouth of Madness,1994,https://boxd.it/1sGAa1,3.5,,,2020-11-16
2020-11-23,Enola Holmes,2020,https://boxd.it/1tpkEJ,3.5,,,2020-11-23
2020-11-24,Speed Racer,2008,https://boxd.it/1trWf7,4,,,2020-11-23
2020-11-25,The Fate of the Furious,2017,https://boxd.it/1tyDAf,3.5,,,2020-11-24
2020-11-25,Men in Black: International,2019,https://boxd.it/1tzhvJ,3,,,2020-11-24
2020-11-26,Deathgasm,2015,https://boxd.it/1tHl9X,3,,,2020-11-25
2020-11-29,The Lie,2018,https://boxd.it/1u1wYH,2.5,,,2020-11-28
2020-11-29,Blow the Man Down,2019,https://boxd.it/1u2GOJ,4,Yes,,2020-11-28
2020-12-05,Freaky,2020,https://boxd.it/1uHnPl,3.5,,,2020-12-04
2020-12-05,All the Boys Love Mandy Lane,2006,https://boxd.it/1uHQ31,2,,,2020-12-04
2020-12-08,Vampires vs. the Bronx,2020,https://boxd.it/1v52SB,4,,,2020-12-07
2020-12-11,Run,2020,https://boxd.it/1vnryx,3,,,2020-12-10
2020-12-18,Abnormal Attraction,2018,https://boxd.it/1w9ZAj,1.5,,,2020-12-18
2020-12-20,A Goofy Movie,1995,https://boxd.it/1wnPRd,4.5,,,2020-12-19
2020-12-20,Phantom of the Paradise,1974,https://boxd.it/1woIVz,4,,,2020-12-20
2020-12-20,Blow Out,1981,https://boxd.it/1wps1R,4.5,,philadelphia,2020-12-20
2020-12-21,Unknown Origins,2020,https://boxd.it/1wrGLN,3,,,2020-12-20
2020-12-21,The Boy Downstairs,2017,https://boxd.it/1wx0JH,1.5,,,2020-12-20
2020-12-22,30 Days of Night,2007,https://boxd.it/1wF9vb,3,,,2020-12-21
2020-12-23,Freaks – You're One of Us,2020,https://boxd.it/1wIzVP,3,,,2020-12-22
2020-12-27,Iron Man 3,2013,https://boxd.it/1xi4ex,3,Yes,,2020-12-23
2020-12-25,The Monster Squad,1987,https://boxd.it/1x212B,3.5,,,2020-12-24
2020-12-25,Wolfman's Got Nards,2018,https://boxd.it/1x3psZ,3,,,2020-12-24
2020-12-25,His Name Was Jason: 30 Years of Friday the 13th,2009,https://boxd.it/1x3pBn,3,,,2020-12-24
2020-12-26,J.R. “Bob” Dobbs and The Church of the SubGenius,2019,https://boxd.it/1x73Gt,4.5,,,2020-12-25
2020-12-26,Friday,1995,https://boxd.it/1xadw5,3.5,Yes,,2020-12-25
2020-12-26,Coyote Ugly,2000,https://boxd.it/1xbzK1,3,,,2020-12-25
2020-12-26,Anna and the Apocalypse,2017,https://boxd.it/1xeutv,4.5,Yes,,2020-12-25
2020-12-27,Quicksilver Highway,1997,https://boxd.it/1xqcTJ,1.5,,,2020-12-26
2020-12-28,Dreams in the Witch House,2005,https://boxd.it/1xAyrx,2.5,,,2020-12-26
2020-12-28,Incident On and Off a Mountain Road,2005,https://boxd.it/1xAyTr,2,,,2020-12-26
2020-12-27,Charlotte,2017,https://boxd.it/1xqeoj,1.5,,,2020-12-27
2020-12-28,Jenifer,2005,https://boxd.it/1xAxDR,2.5,,,2020-12-27
2020-12-28,Dance of the Dead,2005,https://boxd.it/1xAy6T,3.5,,,2020-12-27
2020-12-28,Chocolate,2005,https://boxd.it/1xBtcT,2.5,,,2020-12-27
2020-12-28,Homecoming,2005,https://boxd.it/1xC5ZT,3,,,2020-12-27
2020-12-28,Deer Woman,2005,https://boxd.it/1xCzWb,3.5,,,2020-12-27
2020-12-29,Cigarette Burns,2005,https://boxd.it/1xMN4n,4,,,2020-12-28
2020-12-30,Sick Girl,2006,https://boxd.it/1xWvtJ,3,,,2020-12-29
2020-12-31,The Damned Thing,2006,https://boxd.it/1y8FFT,2.5,,,2020-12-30
2020-12-31,Family,2006,https://boxd.it/1y8FTr,3,,,2020-12-30
2020-12-31,Sounds Like,2006,https://boxd.it/1y8G5x,2.5,,,2020-12-30
2020-12-31,Pro-Life,2006,https://boxd.it/1y8Cqr,3,,,2020-12-31
2021-01-01,Johnny Mnemonic,1995,https://boxd.it/1yhwpZ,3.5,Yes,,2020-12-31
2021-01-01,The Screwfly Solution,2006,https://boxd.it/1yi1h3,3,,,2021-01-01
2021-01-02,Right to Die,2007,https://boxd.it/1ysyTf,3.5,,,2021-01-01
2021-05-23,El Mariachi,1992,https://boxd.it/1SyJCL,3.5,,,2021-01-01
2021-01-02,We All Scream for Ice Cream,2007,https://boxd.it/1yvrtF,3.5,,,2021-01-02
2021-01-02,The Black Cat,2007,https://boxd.it/1yvQMd,3.5,,,2021-01-02
2021-01-04,The Washingtonians,2007,https://boxd.it/1yVMil,3.5,,,2021-01-03
2021-01-04,Dream Cruise,2007,https://boxd.it/1yWcfn,2.5,,,2021-01-03
2021-01-11,We Can Be Heroes,2020,https://boxd.it/1zVRHp,3,,,2021-01-10
2021-01-17,Promising Young Woman,2020,https://boxd.it/1AYxWf,4,,,2021-01-16
2021-01-24,In Search of Darkness: Part II,2020,https://boxd.it/1C1lov,3.5,,,2021-01-24
2021-02-06,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/1DLwRp,4,Yes,,2021-02-04
2021-02-14,Willy's Wonderland,2021,https://boxd.it/1ETZtL,3,,,2021-02-13
2021-02-20,Jiu Jitsu,2020,https://boxd.it/1FQMRX,1.5,,,2021-02-13
2021-02-18,All the Creatures Were Stirring,2018,https://boxd.it/1Fz5VX,2.5,,,2021-02-17
2021-02-18,A Babysitter's Guide to Monster Hunting,2020,https://boxd.it/1FApJ5,2,,,2021-02-18
2021-02-20,Witchboard,1986,https://boxd.it/1FPG6f,3,,,2021-02-19
2021-02-20,Angel Heart,1987,https://boxd.it/1FQDTP,4,,,2021-02-19
2021-02-20,The Wolf of Snow Hollow,2020,https://boxd.it/1FRo11,3.5,,,2021-02-20
2021-02-22,Space Sweepers,2021,https://boxd.it/1G5C5J,4.5,,,2021-02-21
