Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-11-29,The Lie,2018,https://boxd.it/1u1wYH,2.5,,Meh. Watch the better Amazon Original version of this in Blow The Man Down.,,2020-11-28
2020-11-29,Blow the Man Down,2019,https://boxd.it/1u2GOJ,5,Yes,Definitely gets better on subsequent viewings,,2020-11-28
2020-12-05,All the Boys Love Mandy Lane,2006,https://boxd.it/1uHQ31,2,,Aggressively meh that thinks it's smarter than it is.,,2020-12-04
2020-12-11,Run,2020,https://boxd.it/1vnryx,3,,"I mean, it's fine, could have been a lot more, but it's fine.",,2020-12-10
2020-12-18,Abnormal Attraction,2018,https://boxd.it/1w9ZAj,1.5,,"Wtf?!

At least it has a decent signature song.",,2020-12-18
2020-12-21,Unknown Origins,2020,https://boxd.it/1wrGLN,3,,"Everything moves a little too fast, but other than that, it's pretty solid. The ending is a very weird choice though if you really think about it.",,2020-12-20
2020-12-26,J.R. “Bob” Dobbs and The Church of the SubGenius,2019,https://boxd.it/1x73Gt,4.5,,Really the perfect Christmas movie!,,2020-12-25
2020-12-28,Homecoming,2005,https://boxd.it/1xC5ZT,3,,Weirdly current.,,2020-12-27
2020-12-28,Deer Woman,2005,https://boxd.it/1xCzWb,3.5,,This one was so ridiculous it crossed over into enjoyably funny.,,2020-12-27
2021-01-04,The Washingtonians,2007,https://boxd.it/1yVMil,3.5,,"Oh my god every ridiculous moment, stupid face, and completely silly sentence is just B movie gold.",,2021-01-03
2021-01-04,Dream Cruise,2007,https://boxd.it/1yWcfn,2.5,,"I found this one of the more incoherent Masters of Horror episodes, unclear back stories, some of the events are less mysterious more confusing, but some pretty great effects.",,2021-01-03
2021-01-17,Promising Young Woman,2020,https://boxd.it/1AYxWf,4,,"Really great, interesting and engaging framing, color use and integration of music. Clever, if depressing, film that looks great and really pulled me along the whole time.

Some scenes were a little too much and I get the ending, I appreciate it conceptually, but it feels like it was from a decade or two ago.",,2021-01-16
2021-02-20,Witchboard,1986,https://boxd.it/1FPG6f,3,,Very 80s,,2021-02-19
2021-02-22,Space Sweepers,2021,https://boxd.it/1G5C5J,4.5,,"What if Firefly, but better, with better effects, less stereotypes and no uncomfortable feeling that you're rooting for the confederacy?",,2021-02-21
2021-02-23,Tentacles,2021,https://boxd.it/1GkDn5,2.5,,No cellphones in this universe huh?,,2021-02-22
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/1JtgmN,2,,"Well.... it is better than the original version, but it still ain't good. I sat down and saw the whole thing though, this weird weird thing that somehow exists. Now I'm ready for an entirely new DC universe with someone else's hands on the wheel. ",,2021-03-18
